"","b","se","t","p","m","star"
"Q5 m0",-0.246806956492752,0.0455505272530566,-5.41831173811914,6.03148305306847e-08,"m0","***"
"Q5 m1",-0.0980323751525137,0.0268548043873366,-3.65045947602363,0.000261804721792755,"m1","***"
"Q5 m2",-0.158259219931218,0.0350008771894854,-4.52157867571274,6.14163624568793e-06,"m2","***"
"Q5 m3",-0.167614461824018,0.0346849256679553,-4.83248727209681,1.34944760345795e-06,"m3","***"
"Q5 m0c",-0.188229853026439,0.043594432735349,-4.31774979546439,1.57789631995342e-05,"m0c","***"
