"var","wi","wo","lost"
"hours lost (million)",1113.72121248231,1119.14607686034,-5.42486437802654
"cost: 100% individual net-wages (R$ million)",15032.5118260141,15120.1403530169,-87.6285270028438
"cost: 50% individual net-wages (R$ million)",7516.25591300705,7560.07017650847,-43.8142635014219
"cost: 100% median net-wages (R$ million)",11456.0107389875,11511.8122303084,-55.8014913208901
"cost: 50% median net-wages (R$ million)",5728.00536949375,5755.90611515419,-27.9007456604451
"cost: VTPI individual VOT (R$ million)",7060.37552107274,7104.01360272911,-43.6380816563692
