scen,base,obs,pred_m0,pred_m3,av_m0,av_m3,avc_m0,avc_m3
without,13532,8256,10728.0874571599,10220.9154698108,0,0,0,0
SLR,13532,8256,8123.91111281107,8350.38751312931,2604.17634434881,1870.52795668152,867.681618538401,623.238410293063
SLR_cam,13532,8256,8077.37779256162,8308.54148764694,2650.70966459826,1912.37398216389,883.18598586653,637.181024893159
without_marg,2326.43835616438,1344.16438356164,1986.14330491551,1847.55540620499,0,0,0,0
SLR_marg,2326.43835616438,1344.16438356164,1300.53360575129,1487.51088201399,685.60969916422,360.044524191004,228.437269521851,119.962696141477
SLR_cam_marg,2326.43835616438,1344.16438356164,1289.47747789175,1475.06683801295,696.665827023757,372.488568192041,232.121044215814,124.108908537352
