scen,obs,pred_m0,av_m0,avc_m0
without,4088,4642.60518858795,0,0
SLR,4088,3946.42816251054,696.177026077404,231.958181360081
without_marg,550.438356164384,683.687760432672,0,0
SLR_marg,550.438356164384,581.166074334203,102.521686098469,34.1590471483412
