"var","wi","wo","lost"
"hours lost (million)",1107.91241217283,1119.21453577404,-11.3021236012059
"cost: 100% individual net-wages (R$ million)",14941.7275444495,15120.8788637238,-179.151319274304
"cost: 50% individual net-wages (R$ million)",7470.86377222475,7560.4394318619,-89.5756596371518
"cost: 100% median net-wages (R$ million)",11396.2599880992,11512.5164155585,-116.256427459251
"cost: 50% median net-wages (R$ million)",5698.12999404962,5756.25820777924,-58.1282137296255
"cost: VTPI individual VOT (R$ million)",7018.29524219821,7104.46033754954,-86.1650953513261
