"var","wi","wo","lost"
"hours lost (million)",1107.95080199493,1119.14607686033,-11.1952748654018
"cost: 100% individual net-wages (R$ million)",14942.3302567969,15120.1403530169,-177.810096220071
"cost: 50% individual net-wages (R$ million)",7471.16512839843,7560.07017650847,-88.9050481100355
"cost: 100% median net-wages (R$ million)",11396.6548752661,11511.8122303084,-115.157355042294
"cost: 50% median net-wages (R$ million)",5698.32743763304,5755.90611515419,-57.578677521147
"cost: VTPI individual VOT (R$ million)",7018.63348702575,7104.0136027291,-85.3801157033561
