"","Estimate","Cluster s.e.","t value","Pr(>|t|)","model","var","n","star"
"rain.dummy m1",0.0185684185037132,0.00506401978954361,3.66673498039127,0.000245678326304121,"m1","rain.dummy",1337555,"***"
"Holiday m1",-0.100145454493822,0.00916415970610386,-10.9279473192856,8.50135934143206e-28,"m1","Holiday",1337555,"***"
"SLI m1",-0.0181860183777572,0.00436093367625099,-4.17021209856861,3.04338745651439e-05,"m1","SLI",1337555,"***"
"moto m1",0.0604006852874851,0.0227191203130778,2.65858380320811,0.00784709281298419,"m1","moto",1337555,"**"
"SLI:marg.ratio m1",-0.0676320081730696,0.0141125854829578,-4.79231876077855,1.64885392789426e-06,"m1","SLI:marg.ratio",1337555,"***"
"rain.dummy m2",0.0186159451300678,0.00506303123021538,3.67683790275097,0.00023615382438189,"m2","rain.dummy",1337555,"***"
"Holiday m2",-0.100037938177252,0.00914406605461923,-10.9402029228252,7.42708691933411e-28,"m2","Holiday",1337555,"***"
"SLI m2",-0.011492895927381,0.00312386139860813,-3.67906717388351,0.00023409937524636,"m2","SLI",1337555,"***"
"moto m2",0.0629601012214719,0.0229139215370633,2.74767900900917,0.00600196789886301,"m2","moto",1337555,"**"
"SLI:marg.ratio m2",-0.0624823996826663,0.0142915408594164,-4.37198481936241,1.23132968511608e-05,"m2","SLI:marg.ratio",1337555,"***"
"SLI:ratio.marg_spill_1000 m2",-0.0360976894924911,0.00845072805550538,-4.27154787793398,1.94136538100821e-05,"m2","SLI:ratio.marg_spill_1000",1337555,"***"
"SLI:ratio.marg_spill_3000 m2",-0.015197392185094,0.00533407441757792,-2.84911514076604,0.00438417963511475,"m2","SLI:ratio.marg_spill_3000",1337555,"**"
"SLI:ratio.marg_spill_5000 m2",-0.00897714912879632,0.00445836278710953,-2.01355285728473,0.0440567347613059,"m2","SLI:ratio.marg_spill_5000",1337555,"*"
"moto m3",-0.00908293337036088,0.0105312468719051,-0.862474641496823,0.388426563802569,"m3","moto",1337555," "
"SLI:marg.ratio m3",-0.0574929468139285,0.0134941551661043,-4.26058142256612,2.03912170311118e-05,"m3","SLI:marg.ratio",1337555,"***"
"SLI:ratio.marg_spill_1000 m3",-0.0339274914951939,0.00801471040218952,-4.23315251489627,2.304561868439e-05,"m3","SLI:ratio.marg_spill_1000",1337555,"***"
"SLI:ratio.marg_spill_3000 m3",-0.0154336298198334,0.00466850178567744,-3.30590637604176,0.000946726470470608,"m3","SLI:ratio.marg_spill_3000",1337555,"***"
"SLI:ratio.marg_spill_5000 m3",-0.0116218779487437,0.00436418289816545,-2.66301349414782,0.00774453999629276,"m3","SLI:ratio.marg_spill_5000",1337555,"**"
"moto m4",-0.00825559735692454,0.00956710190305774,-0.862915169147092,0.388184292015608,"m4","moto",1337555," "
"SLI:ratio.marg_spill_1000 m4",-0.0339262408535992,0.00801659786281258,-4.23199983760897,2.31640720632799e-05,"m4","SLI:ratio.marg_spill_1000",1337555,"***"
"SLI:ratio.marg_spill_3000 m4",-0.0154348617037703,0.00466650614251744,-3.30758413947863,0.000941073586292754,"m4","SLI:ratio.marg_spill_3000",1337555,"***"
"SLI:ratio.marg_spill_5000 m4",-0.0116214014260742,0.0043649891674153,-2.66241243227546,0.00775838458134313,"m4","SLI:ratio.marg_spill_5000",1337555,"**"
"marg.ratio:SLI:poff-peak m4",-0.0587070904019906,0.0114300165046021,-5.13622096506625,2.8036419805355e-07,"m4","marg.ratio:SLI:poff-peak",1337555,"***"
"marg.ratio:SLI:ppeak m4",-0.0557947595915731,0.018025296036921,-3.09535884888045,0.00196579689298713,"m4","marg.ratio:SLI:ppeak",1337555,"**"
