"","Estimate","Cluster s.e.","t value","Pr(>|t|)","model","var","n","star"
"rain.dummy m1",0.0185707388905205,0.00506284921150397,3.66804108017349,0.000244427034680017,"m1","rain.dummy",1337555,"***"
"Holiday m1",-0.100122645339016,0.00917647801431605,-10.9107922650516,1.02684332023025e-27,"m1","Holiday",1337555,"***"
"SLI m1",-0.0178771463501812,0.00431652254083498,-4.1415621443096,3.44973186725698e-05,"m1","SLI",1337555,"***"
"moto m1",0.0621964402474576,0.0231192539327747,2.69024426256617,0.00714007767340959,"m1","moto",1337555,"**"
"SLI:marg.ratio m1",-0.0610428516714666,0.0127881741961041,-4.77338287197114,1.81179336038324e-06,"m1","SLI:marg.ratio",1337555,"***"
"rain.dummy m2",0.0186139707298347,0.00506285141750675,3.67657851175916,0.000236393969360215,"m2","rain.dummy",1337555,"***"
"Holiday m2",-0.10002398673234,0.00915615536697758,-10.9242343236207,8.85626116503776e-28,"m2","Holiday",1337555,"***"
"SLI m2",-0.0114040212431367,0.00312076919421365,-3.65423411134711,0.000257962387100503,"m2","SLI",1337555,"***"
"moto m2",0.0642114221371108,0.0232048744242405,2.76715232167056,0.00565492383650085,"m2","moto",1337555,"**"
"SLI:marg.ratio m2",-0.0575071021200792,0.0130580909804565,-4.40394405324237,1.06310026554006e-05,"m2","SLI:marg.ratio",1337555,"***"
"SLI:ratio.marg_spill_1000 m2",-0.0352970151195551,0.00831009664916633,-4.24748551186779,2.16200252527014e-05,"m2","SLI:ratio.marg_spill_1000",1337555,"***"
"SLI:ratio.marg_spill_3000 m2",-0.0147806157386654,0.00523763556621277,-2.82200156001939,0.00477257707768921,"m2","SLI:ratio.marg_spill_3000",1337555,"**"
"SLI:ratio.marg_spill_5000 m2",-0.00895909369658063,0.004421834247768,-2.02610346624885,0.0427544154149524,"m2","SLI:ratio.marg_spill_5000",1337555,"*"
"moto m3",-0.00804674225341622,0.0106088422388357,-0.758493912178236,0.448155513524115,"m3","moto",1337555," "
"SLI:marg.ratio m3",-0.0532280982309771,0.0124832293992879,-4.26396860367025,2.00843864520901e-05,"m3","SLI:marg.ratio",1337555,"***"
"SLI:ratio.marg_spill_1000 m3",-0.0334874394817616,0.00795436647298913,-4.209944260863,2.55453314502997e-05,"m3","SLI:ratio.marg_spill_1000",1337555,"***"
"SLI:ratio.marg_spill_3000 m3",-0.0150974198556507,0.00459014493477572,-3.28909436851767,0.00100513373222929,"m3","SLI:ratio.marg_spill_3000",1337555,"**"
"SLI:ratio.marg_spill_5000 m3",-0.0113703876643873,0.00433831635003634,-2.62092174635723,0.00876935560067487,"m3","SLI:ratio.marg_spill_5000",1337555,"**"
"moto m4",-0.0060260829537679,0.00945008581714207,-0.637674945008101,0.523685427041291,"m4","moto",1337555," "
"SLI:ratio.marg_spill_1000 m4",-0.0334826447010732,0.00795785266441998,-4.20749743844543,2.58234115046947e-05,"m4","SLI:ratio.marg_spill_1000",1337555,"***"
"SLI:ratio.marg_spill_3000 m4",-0.015099256488173,0.00458865112910701,-3.29056536732429,0.000999893127201968,"m4","SLI:ratio.marg_spill_3000",1337555,"***"
"SLI:ratio.marg_spill_5000 m4",-0.0113700649960241,0.00433848025697241,-2.62074835485332,0.00877381663077379,"m4","SLI:ratio.marg_spill_5000",1337555,"**"
"marg.ratio:SLI:poff-peak m4",-0.0558263948133746,0.010392865266271,-5.37160767344437,7.80530279397725e-08,"m4","marg.ratio:SLI:poff-peak",1337555,"***"
"marg.ratio:SLI:ppeak m4",-0.0496663975097556,0.0167181809731305,-2.97080152377699,0.00297029884317768,"m4","marg.ratio:SLI:ppeak",1337555,"**"
