"var","wi","wo","lost"
"hours lost (million)",1115.08737200471,1119.14607686034,-4.05870485562512
"cost: 100% individual net-wages (R$ million)",15054.2864739465,15120.1403530169,-65.8538790704931
"cost: 50% individual net-wages (R$ million)",7527.14323697323,7560.07017650847,-32.9269395352465
"cost: 100% median net-wages (R$ million)",11470.0633923664,11511.8122303084,-41.7488379419376
"cost: 50% median net-wages (R$ million)",5735.03169618322,5755.90611515419,-20.8744189709688
"cost: VTPI individual VOT (R$ million)",7071.17103809886,7104.01360272911,-32.842564630254
