"var","wi","wo","lost"
"hours lost (million)",1114.8988003404,1119.14607686034,-4.2472765199371
"cost: 100% individual net-wages (R$ million)",15051.7518207086,15120.1403530169,-68.388532308349
"cost: 50% individual net-wages (R$ million)",7525.8759103543,7560.07017650847,-34.1942661541745
"cost: 100% median net-wages (R$ million)",11468.1236977757,11511.8122303084,-43.6885325326618
"cost: 50% median net-wages (R$ million)",5734.06184888786,5755.90611515419,-21.8442662663309
"cost: VTPI individual VOT (R$ million)",7069.49259589117,7104.01360272911,-34.5210068379406
