scen,base,obs,pred_m0,pred_m3,av_m0,av_m3,avc_m0,avc_m3
without,8568,4392,7039.83012016619,5709.08543300072,0,0,0,0
SLR,8568,4392,4476.98382835356,4465.8731723535,2562.84629181262,1243.21226064723,853.910920191995,414.224032426233
SLR_cam,8568,4392,4391.99999998853,4392.00001203752,2647.83012017766,1317.0854209632,882.226554770806,438.837720146962
without_marg,687.287671232877,334.520547945206,646.109715694622,513.604168422788,0,0,0,0
SLR_marg,687.287671232877,334.520547945206,340.496449231276,339.590420807769,305.613266463346,174.013747615019,101.826826845719,57.979380123848
SLR_cam_marg,687.287671232877,334.520547945206,334.520547942922,334.520548203267,311.5891677517,179.083620219521,103.817928451936,59.668603388933
